,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
455,22,22.000000000000114,0.0,1,1,1,1
456,23,23.000000000000064,0.0,1,1,1,1
457,17,17.000000000000078,0.0,1,1,1,1
458,18,18.00000000000002,0.0,1,1,1,1
459,19,19.000000000000036,0.0,1,1,1,1
460,22,22.000000000000036,0.0,1,1,1,1
461,22,22.00000000000007,0.0,1,1,1,1
462,23,23.00000000000007,0.0,1,1,1,1
463,24,24.000000000000064,0.0,1,1,1,1
464,24,24.00000000000005,0.0,1,1,1,1
465,24,24.000000000000078,0.0,1,1,1,1
466,17,17.00000000000007,0.0,1,1,1,1
467,18,17.999999999999993,0.0,1,1,1,1
468,24,24.0,0.0,1,1,1,1
469,26,26.000000000000085,0.0,1,1,1,1
470,23,23.000000000000107,0.0,1,1,1,1
471,26,26.00000000000005,0.0,1,1,1,1
472,18,18.000000000000078,0.0,1,1,1,1
473,18,17.999999999999986,0.0,1,1,1,1
474,24,24.00000000000002,0.0,1,1,1,1
475,24,24.0000000000001,0.0,1,1,1,1
476,19,19.000000000000107,0.0,1,1,1,1
477,21,21.000000000000057,0.0,1,1,1,1
478,23,23.000000000000036,0.0,1,1,1,1
479,22,22.000000000000057,0.0,1,1,1,1
480,19,19.000000000000043,0.0,1,1,1,1
481,23,23.000000000000078,0.0,1,1,1,1
482,18,18.000000000000114,0.0,1,1,1,1
483,19,19.00000000000007,0.0,1,1,1,1
484,23,23.000000000000014,0.0,1,1,1,1
485,25,25.000000000000064,0.0,1,1,1,1
486,25,25.000000000000078,0.0,1,1,1,1
487,28,28.000000000000107,0.0,1,1,1,1
488,26,26.000000000000128,0.0,1,1,1,1
489,23,23.00000000000015,0.0,1,1,1,1
490,15,15.000000000000057,0.0,1,1,1,1
491,17,17.00000000000002,0.0,1,1,1,1
492,19,19.000000000000057,0.0,1,1,1,1
493,21,21.00000000000007,0.0,1,1,1,1
494,22,22.000000000000078,0.0,1,1,1,1
495,22,22.000000000000064,0.0,1,1,1,1
496,24,24.000000000000057,0.0,1,1,1,1
497,24,24.00000000000007,0.0,1,1,1,1
498,26,26.000000000000156,0.0,1,1,1,1
499,26,26.00000000000022,0.0,1,1,1,1
500,24,24.00000000000039,0.0,1,1,1,1
501,26,26.000000000000057,0.0,1,1,1,1
502,28,28.000000000000092,0.0,1,1,1,1
503,23,23.00000000000012,0.0,1,1,1,1
504,19,19.000000000000064,0.0,1,1,1,1
505,19,19.000000000000014,0.0,1,1,1,1
506,26,26.0000000000001,0.0,1,1,1,1
507,22,22.000000000000156,0.0,1,1,1,1
