,real_value,validation_predictions,abs_diff,precision_up_to_0_degrees,precision_up_to_1_degrees,precision_up_to_2_degrees,precision_up_to_3_degrees
5818,17.0,17.000000000000114,0.0,1,1,1,1
5819,17.0,17.000000000000064,0.0,1,1,1,1
5820,18.0,18.000000000000036,0.0,1,1,1,1
5821,17.0,17.000000000000078,0.0,1,1,1,1
5822,14.0,14.000000000000083,0.0,1,1,1,1
5823,11.0,10.99999999999998,0.0,1,1,1,1
5824,12.0,12.000000000000018,0.0,1,1,1,1
5825,14.0,14.000000000000037,0.0,1,1,1,1
5826,13.0,13.000000000000018,0.0,1,1,1,1
5827,13.0,12.99999999999999,0.0,1,1,1,1
5828,13.0,13.0,0.0,1,1,1,1
5829,15.0,15.000000000000023,0.0,1,1,1,1
5830,10.0,10.000000000000044,0.0,1,1,1,1
5831,5.0,5.0000000000000036,0.0,1,1,1,1
5832,7.0,7.000000000000028,0.0,1,1,1,1
5833,10.0,10.000000000000028,0.0,1,1,1,1
5834,11.0,11.000000000000059,0.0,1,1,1,1
5835,9.0,9.000000000000073,0.0,1,1,1,1
5836,12.0,12.000000000000062,0.0,1,1,1,1
5837,13.0,13.000000000000092,0.0,1,1,1,1
5838,14.0,14.000000000000082,0.0,1,1,1,1
5839,16.0,16.000000000000092,0.0,1,1,1,1
5840,19.0,19.000000000000092,0.0,1,1,1,1
5841,20.0,20.000000000000078,0.0,1,1,1,1
5842,19.0,19.000000000000064,0.0,1,1,1,1
5843,19.0,19.000000000000064,0.0,1,1,1,1
5844,17.0,17.00000000000005,0.0,1,1,1,1
5845,17.0,17.00000000000007,0.0,1,1,1,1
5846,18.0,18.000000000000092,0.0,1,1,1,1
5847,19.0,19.000000000000078,0.0,1,1,1,1
5848,10.0,10.000000000000052,0.0,1,1,1,1
5849,9.0,9.000000000000018,0.0,1,1,1,1
5850,9.0,9.000000000000036,0.0,1,1,1,1
5851,10.0,10.00000000000005,0.0,1,1,1,1
5852,11.0,11.000000000000028,0.0,1,1,1,1
5853,9.0,9.000000000000092,0.0,1,1,1,1
5854,11.0,11.000000000000071,0.0,1,1,1,1
5855,15.0,15.000000000000071,0.0,1,1,1,1
5856,15.0,15.00000000000012,0.0,1,1,1,1
5857,16.0,16.000000000000107,0.0,1,1,1,1
5858,16.0,16.00000000000007,0.0,1,1,1,1
5859,17.0,17.000000000000043,0.0,1,1,1,1
5860,15.0,15.000000000000057,0.0,1,1,1,1
5861,16.0,16.000000000000036,0.0,1,1,1,1
5862,13.0,13.000000000000066,0.0,1,1,1,1
5863,13.0,13.000000000000055,0.0,1,1,1,1
5864,13.0,13.000000000000075,0.0,1,1,1,1
5865,16.0,16.000000000000057,0.0,1,1,1,1
5866,17.0,17.000000000000135,0.0,1,1,1,1
5867,18.0,18.000000000000085,0.0,1,1,1,1
5868,19.0,19.000000000000043,0.0,1,1,1,1
5869,21.0,21.00000000000012,0.0,1,1,1,1
5870,21.0,21.000000000000057,0.0,1,1,1,1
5871,18.0,18.000000000000007,0.0,1,1,1,1
5872,16.0,16.000000000000036,0.0,1,1,1,1
5873,17.0,17.000000000000064,0.0,1,1,1,1
5874,18.0,18.00000000000007,0.0,1,1,1,1
5875,21.0,21.00000000000012,0.0,1,1,1,1
5876,23.0,23.00000000000015,0.0,1,1,1,1
5877,25.0,25.00000000000012,0.0,1,1,1,1
5878,25.0,25.000000000000114,0.0,1,1,1,1
5879,24.0,24.000000000000092,0.0,1,1,1,1
5880,24.0,24.000000000000107,0.0,1,1,1,1
5881,21.0,21.000000000000107,0.0,1,1,1,1
5882,16.0,16.000000000000007,0.0,1,1,1,1
5883,15.0,15.000000000000014,0.0,1,1,1,1
5884,19.0,19.000000000000057,0.0,1,1,1,1
5885,21.0,21.000000000000092,0.0,1,1,1,1
5886,22.0,22.000000000000114,0.0,1,1,1,1
5887,24.0,24.000000000000107,0.0,1,1,1,1
5888,21.0,21.000000000000092,0.0,1,1,1,1
5889,23.0,23.000000000000078,0.0,1,1,1,1
5890,24.0,24.000000000000036,0.0,1,1,1,1
5891,24.0,24.000000000000043,0.0,1,1,1,1
5892,23.0,23.000000000000036,0.0,1,1,1,1
5893,24.0,24.000000000000036,0.0,1,1,1,1
5894,26.0,26.000000000000064,0.0,1,1,1,1
5895,26.0,26.000000000000092,0.0,1,1,1,1
5896,27.0,27.000000000000057,0.0,1,1,1,1
5897,26.0,26.000000000000107,0.0,1,1,1,1
5898,28.0,28.000000000000092,0.0,1,1,1,1
5899,29.0,29.0000000000001,0.0,1,1,1,1
5900,29.0,29.0000000000001,0.0,1,1,1,1
5901,29.0,29.000000000000057,0.0,1,1,1,1
5902,28.0,28.000000000000114,0.0,1,1,1,1
5903,28.0,28.000000000000085,0.0,1,1,1,1
5904,27.0,27.000000000000057,0.0,1,1,1,1
5905,28.0,28.000000000000078,0.0,1,1,1,1
5906,29.0,29.00000000000012,0.0,1,1,1,1
5907,27.0,27.0000000000001,0.0,1,1,1,1
5908,27.0,27.00000000000007,0.0,1,1,1,1
5909,27.0,27.00000000000005,0.0,1,1,1,1
5910,27.0,27.000000000000064,0.0,1,1,1,1
5911,27.0,27.000000000000078,0.0,1,1,1,1
5912,27.0,27.00000000000007,0.0,1,1,1,1
5913,27.0,27.000000000000078,0.0,1,1,1,1
5914,28.0,28.000000000000107,0.0,1,1,1,1
5915,27.0,27.000000000000107,0.0,1,1,1,1
5916,24.0,24.000000000000078,0.0,1,1,1,1
5917,27.0,27.000000000000078,0.0,1,1,1,1
5918,27.0,27.000000000000128,0.0,1,1,1,1
5919,27.0,27.000000000000128,0.0,1,1,1,1
5920,27.0,27.000000000000085,0.0,1,1,1,1
5921,22.0,22.00000000000005,0.0,1,1,1,1
5922,22.0,22.00000000000005,0.0,1,1,1,1
5923,21.0,21.00000000000007,0.0,1,1,1,1
5924,24.0,24.000000000000064,0.0,1,1,1,1
5925,28.0,28.00000000000012,0.0,1,1,1,1
5926,28.0,28.00000000000012,0.0,1,1,1,1
5927,28.0,28.000000000000085,0.0,1,1,1,1
5928,26.0,26.000000000000064,0.0,1,1,1,1
5929,24.0,24.000000000000057,0.0,1,1,1,1
5930,26.0,26.00000000000005,0.0,1,1,1,1
5931,25.0,25.000000000000064,0.0,1,1,1,1
5932,25.0,25.000000000000043,0.0,1,1,1,1
5933,23.0,23.00000000000003,0.0,1,1,1,1
5934,24.0,24.000000000000043,0.0,1,1,1,1
5935,27.0,27.000000000000085,0.0,1,1,1,1
5936,28.0,28.000000000000114,0.0,1,1,1,1
